username,text,tweet_clean,tweet_english
kompascom,"Akademisi yang juga tergabung Gerakan Nurani Bangsa (GNB), Komaruddin Hidayat menilai pemerintah perlu memikirkan momentum yang tepat untuk menaikkan pajak pertambahan nilai (PPN) menjadi 12 persen. //MN

#GNB #PPN

https://t.co/dhecVwJ9QT","Akademisi yang juga tergabung Gerakan Nurani Bangsa (GNB), Komaruddin Hidayat menilai pemerintah perlu memikirkan momentum yang tepat untuk menaikkan pajak pertambahan nilai (PPN) menjadi persen. //MN ://","Academics who are also incorporated by the National Conscience Movement (GNB), Komaruddin Hidayat assessed that the government needs to think of the right momentum to raise the Value Added Tax (VAT) to percent.//M N ://"
emaknyethembon,"RT @neVerAl0nely: Demonstrasi BEM-SI Tolak PPN 12 persen 27.12.24

Mahasiswa msh bertahan di lokasi hingga mlm ini 
Ada beberapa mahasiswa…",: Demonstrasi BEM-SI Tolak PPN persen Mahasiswa msh bertahan di lokasi hingga mlm ini Ada beberapa mahasiswa,: Demonstration of BEM-Si Rejecting VAT Percent of students still survive at the location until this MLM there are several students
Par_Kid,"RT @ramuneinabottle: Kalau sesuatu yang tidak kena PPN 12% dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri…",": Kalau sesuatu yang tidak kena PPN % dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri",": If something that is not subject to VAT % is said to be good news with one of the state agencies, it means the country itself"
Viechar_Zoel,"PPN 12% rilis 1 Januari 2025, parkir terminal Pulo Gebang udeh naik.","PPN % rilis Januari , parkir terminal Pulo Gebang udeh naik.","VAT % of January release, Pulo Gebang Udeh Terminal Parking rises."
Lesta_hnd,"RT @virdianaurellio: “Demokrasi aman kok buktinya kalian boleh aksi”

Iya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa…",: Demokrasi aman kok buktinya kalian boleh aksiIya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa,": Democracy is safe, how proof you can do it, but it is intimidated using a cars of the Directorate of Detention and parked"
Ahmadrifki74,"tetap solid, Polri! Kalian hebat! 💙https://t.co/zja9I8viIr","tetap solid, Polri! Kalian hebat!","Stay solid, Polri!You guys are great!"
Marliana_vtsr,"RT @amzarul: Kesian rakyat Indonesia dibodohkan oleh pemerintah mereka. Rakyat miskin dikenakan PPN 12% meskipun hidup melarat. 

Belajarla…",: Kesian rakyat Indonesia dibodohkan oleh pemerintah mereka. Rakyat miskin dikenakan PPN % meskipun hidup melarat. Belajarla,: Poor Indonesians are fooled by their government.Poor people are subjected to % of the PPNs despite living poorly.Learn
_citcitcuit_,"@arigmpt @keretaapikita Ga pake ppn 12% juga udh mahal banget gilak, eksekutif minimal setengah juta... SETENGAH JUTA! 😭","Ga pake ppn % juga udh mahal banget gilak, eksekutif minimal setengah juta... SETENGAH JUTA!","Not using PPN % is also very expensive, executive of at least half a million ... half a million!"
Hendria43967683,"RT @PngAdilnR4kyt: MAHASISWA KEMBALI TURUN KEJALAN TOLAK KENAIKAN PPN 12 PERSEN....

BEM SI KERAKYATAN TOLAK PPN 12 % UNJUK RASA DI PATUNG…",: MAHASISWA KEMBALI TURUN KEJALAN TOLAK KENAIKAN PPN PERSEN....BEM SI KERAKYATAN TOLAK PPN % UNJUK RASA DI PATUNG,: Students go back down the path to reject the increase in VAT percent .... BEM SI POPOS
allaboutndiie,"RT @keretaapikita: Kabar Gembira! Tiket kereta tidak dikenakanPPN 12%

Gaes! Tiket kereta api nggak dikenakan PPN 12% ya. Jadi, perjalanan…",": Kabar Gembira! Tiket kereta tidak dikenakanPPN %Gaes! Tiket kereta api nggak dikenakan PPN % ya. Jadi, perjalanan",": Good news!Train tickets are not subject to PPN %GAES!Train tickets are not subject to VAT %.So, travel"
